行列头两行不会被读取,,,
,,与item物品表id对应,0-4，共5个
残响-雷4星，1号位,,3811,0
残响-雷4星，1号位,,3812,0
残响-雷4星，1号位,,3813,0
残响-雷4星，1号位,,3814,0
残响-雷4星，1号位,,3815,0
残响-雷4星，2号位,,3816,1
残响-雷4星，2号位,,3817,1
残响-雷4星，2号位,,3818,1
残响-雷4星，2号位,,3819,1
残响-雷4星，2号位,,3820,1
残响-雷4星，2号位,,3821,1
残响-雷4星，3号位,,3822,2
残响-雷4星，3号位,,3823,2
残响-雷4星，3号位,,3824,2
残响-雷4星，3号位,,3825,2
残响-雷4星，3号位,,3826,2
残响-雷4星，3号位,,3827,2
残响-雷4星，4号位,,3828,3
残响-雷4星，4号位,,3829,3
残响-雷4星，4号位,,3830,3
残响-雷4星，4号位,,3831,3
残响-雷4星，4号位,,3832,3
残响-雷4星，4号位,,3833,3
残响-雷4星，5号位,,3834,4
残响-雷4星，5号位,,3835,4
残响-雷4星，5号位,,3836,4
残响-雷4星，5号位,,3837,4
残响-雷4星，5号位,,3838,4
残响-雷4星，5号位,,3839,4
残响-雷5星，1号位,,3840,0
残响-雷5星，1号位,,3841,0
残响-雷5星，1号位,,3842,0
残响-雷5星，1号位,,3843,0
残响-雷5星，1号位,,3844,0
残响-雷5星，1号位,,3845,0
残响-雷5星，2号位,,3846,1
残响-雷5星，2号位,,3847,1
残响-雷5星，2号位,,3848,1
残响-雷5星，2号位,,3849,1
残响-雷5星，2号位,,3850,1
残响-雷5星，2号位,,3851,1
残响-雷5星，3号位,,3852,2
残响-雷5星，3号位,,3853,2
残响-雷5星，3号位,,3854,2
残响-雷5星，3号位,,3855,2
残响-雷5星，3号位,,3856,2
残响-雷5星，3号位,,3857,2
残响-雷5星，4号位,,3858,3
残响-雷5星，4号位,,3859,3
残响-雷5星，4号位,,3860,3
残响-雷5星，4号位,,3861,3
残响-雷5星，4号位,,3862,3
残响-雷5星，4号位,,3863,3
残响-雷5星，5号位,,3864,4
残响-雷5星，5号位,,3865,4
残响-雷5星，5号位,,3866,4
残响-雷5星，5号位,,3867,4
残响-雷5星，5号位,,3868,4
残响-雷5星，5号位,,3869,4
残响-雷6星，1号位,,3870,0
残响-雷6星，1号位,,3871,0
残响-雷6星，1号位,,3872,0
残响-雷6星，1号位,,3873,0
残响-雷6星，1号位,,3874,0
残响-雷6星，1号位,,3875,0
残响-雷6星，2号位,,3876,1
残响-雷6星，2号位,,3877,1
残响-雷6星，2号位,,3878,1
残响-雷6星，2号位,,3879,1
残响-雷6星，2号位,,3880,1
残响-雷6星，2号位,,3881,1
残响-雷6星，3号位,,3882,2
残响-雷6星，3号位,,3883,2
残响-雷6星，3号位,,3884,2
残响-雷6星，3号位,,3885,2
残响-雷6星，3号位,,3886,2
残响-雷6星，3号位,,3887,2
残响-雷6星，4号位,,3888,3
残响-雷6星，4号位,,3889,3
残响-雷6星，4号位,,3890,3
残响-雷6星，4号位,,3891,3
残响-雷6星，4号位,,3892,3
残响-雷6星，4号位,,3893,3
残响-雷6星，5号位,,3894,4
残响-雷6星，5号位,,3895,4
残响-雷6星，5号位,,3896,4
残响-雷6星，5号位,,3897,4
残响-雷6星，5号位,,3898,4
残响-雷6星，5号位,,3899,4
残响-时1星，1号位,,3900,0
残响-时1星，1号位,,3901,0
残响-时1星，1号位,,3902,0
残响-时1星，1号位,,3903,0
残响-时1星，1号位,,3904,0
残响-时1星，1号位,,3905,0
残响-时1星，2号位,,3906,1
残响-时1星，2号位,,3907,1
残响-时1星，2号位,,3908,1
残响-时1星，2号位,,3909,1
残响-时1星，2号位,,3910,1
残响-时1星，2号位,,3911,1
残响-时1星，3号位,,3912,2
残响-时1星，3号位,,3913,2
残响-时1星，3号位,,3914,2
残响-时1星，3号位,,3915,2
残响-时1星，3号位,,3916,2
残响-时1星，3号位,,3917,2
残响-时1星，4号位,,3918,3
残响-时1星，4号位,,3919,3
残响-时1星，4号位,,3920,3
残响-时1星，4号位,,3921,3
残响-时1星，4号位,,3922,3
残响-时1星，4号位,,3923,3
残响-时1星，5号位,,3924,4
残响-时1星，5号位,,3925,4
残响-时1星，5号位,,3926,4
残响-时1星，5号位,,3927,4
残响-时1星，5号位,,3928,4
残响-时1星，5号位,,3929,4
残响-时2星，1号位,,3930,0
残响-时2星，1号位,,3931,0
残响-时2星，1号位,,3932,0
残响-时2星，1号位,,3933,0
残响-时2星，1号位,,3934,0
残响-时2星，1号位,,3935,0
残响-时2星，2号位,,3936,1
残响-时2星，2号位,,3937,1
残响-时2星，2号位,,3938,1
残响-时2星，2号位,,3939,1
残响-时2星，2号位,,3940,1
残响-时2星，2号位,,3941,1
残响-时2星，3号位,,3942,2
残响-时2星，3号位,,3943,2
残响-时2星，3号位,,3944,2
残响-时2星，3号位,,3945,2
残响-时2星，3号位,,3946,2
残响-时2星，3号位,,3947,2
残响-时2星，4号位,,3948,3
残响-时2星，4号位,,3949,3
残响-时2星，4号位,,3950,3
残响-时2星，4号位,,3951,3
残响-时2星，4号位,,3952,3
残响-时2星，4号位,,3953,3
残响-时2星，5号位,,3954,4
残响-时2星，5号位,,3955,4
残响-时2星，5号位,,3956,4
残响-时2星，5号位,,3957,4
残响-时2星，5号位,,3958,4
残响-时2星，5号位,,3959,4
残响-时3星，1号位,,3960,0
残响-时3星，1号位,,3961,0
残响-时3星，1号位,,3962,0
残响-时3星，1号位,,3963,0
残响-时3星，1号位,,3964,0
残响-时3星，1号位,,3965,0
残响-时3星，2号位,,3966,1
残响-时3星，2号位,,3967,1
残响-时3星，2号位,,3968,1
残响-时3星，2号位,,3969,1
残响-时3星，2号位,,3970,1
残响-时3星，2号位,,3971,1
残响-时3星，3号位,,3972,2
残响-时3星，3号位,,3973,2
残响-时3星，3号位,,3974,2
残响-时3星，3号位,,3975,2
残响-时3星，3号位,,3976,2
残响-时3星，3号位,,3977,2
残响-时3星，4号位,,3978,3
残响-时3星，4号位,,3979,3
残响-时3星，4号位,,3980,3
残响-时3星，4号位,,3981,3
残响-时3星，4号位,,3982,3
残响-时3星，4号位,,3983,3
残响-时3星，5号位,,3984,4
残响-时3星，5号位,,3985,4
残响-时3星，5号位,,3986,4
残响-时3星，5号位,,3987,4
残响-时3星，5号位,,3988,4
残响-时3星，5号位,,3989,4
残响-时4星，1号位,,3990,0
残响-时4星，1号位,,3991,0
残响-时4星，1号位,,3992,0
残响-时4星，1号位,,3993,0
残响-时4星，1号位,,3994,0
残响-时4星，1号位,,3995,0
残响-时4星，2号位,,3996,1
残响-时4星，2号位,,3997,1
残响-时4星，2号位,,3998,1
残响-时4星，2号位,,3999,1
残响-时4星，2号位,,4000,1
残响-时4星，2号位,,4001,1
残响-时4星，3号位,,4002,2
残响-时4星，3号位,,4003,2
残响-时4星，3号位,,4004,2
残响-时4星，3号位,,4005,2
残响-时4星，3号位,,4006,2
残响-时4星，3号位,,4007,2
残响-时4星，4号位,,4008,3
残响-时4星，4号位,,4009,3
残响-时4星，4号位,,4010,3
残响-时4星，4号位,,4011,3
残响-时4星，4号位,,4012,3
残响-时4星，4号位,,4013,3
残响-时4星，5号位,,4014,4
残响-时4星，5号位,,4015,4
残响-时4星，5号位,,4016,4
残响-时4星，5号位,,4017,4
残响-时4星，5号位,,4018,4
残响-时4星，5号位,,4019,4
残响-时5星，1号位,,4020,0
残响-时5星，1号位,,4021,0
残响-时5星，1号位,,4022,0
残响-时5星，1号位,,4023,0
残响-时5星，1号位,,4024,0
残响-时5星，1号位,,4025,0
残响-时5星，2号位,,4026,1
残响-时5星，2号位,,4027,1
残响-时5星，2号位,,4028,1
残响-时5星，2号位,,4029,1
残响-时5星，2号位,,4030,1
残响-时5星，2号位,,4031,1
残响-时5星，3号位,,4032,2
残响-时5星，3号位,,4033,2
残响-时5星，3号位,,4034,2
残响-时5星，3号位,,4035,2
残响-时5星，3号位,,4036,2
残响-时5星，3号位,,4037,2
残响-时5星，4号位,,4038,3
残响-时5星，4号位,,4039,3
残响-时5星，4号位,,4040,3
残响-时5星，4号位,,4041,3
残响-时5星，4号位,,4042,3
残响-时5星，4号位,,4043,3
残响-时5星，5号位,,4044,4
残响-时5星，5号位,,4045,4
残响-时5星，5号位,,4046,4
残响-时5星，5号位,,4047,4
残响-时5星，5号位,,4048,4
残响-时5星，5号位,,4049,4
残响-时6星，1号位,,4050,0
残响-时6星，1号位,,4051,0
残响-时6星，1号位,,4052,0
残响-时6星，1号位,,4053,0
残响-时6星，1号位,,4054,0
残响-时6星，1号位,,4055,0
残响-时6星，2号位,,4056,1
残响-时6星，2号位,,4057,1
残响-时6星，2号位,,4058,1
残响-时6星，2号位,,4059,1
残响-时6星，2号位,,4060,1
残响-时6星，2号位,,4061,1
残响-时6星，3号位,,4062,2
残响-时6星，3号位,,4063,2
残响-时6星，3号位,,4064,2
残响-时6星，3号位,,4065,2
残响-时6星，3号位,,4066,2
残响-时6星，3号位,,4067,2
残响-时6星，4号位,,4068,3
残响-时6星，4号位,,4069,3
残响-时6星，4号位,,4070,3
残响-时6星，4号位,,4071,3
残响-时6星，4号位,,4072,3
残响-时6星，4号位,,4073,3
残响-时6星，5号位,,4074,4
残响-时6星，5号位,,4075,4
残响-时6星，5号位,,4076,4
残响-时6星，5号位,,4077,4
残响-时6星，5号位,,4078,4
残响-时6星，5号位,,4079,4
残响-空1星，1号位,,4080,0
残响-空1星，1号位,,4081,0
残响-空1星，1号位,,4082,0
残响-空1星，1号位,,4083,0
残响-空1星，1号位,,4084,0
残响-空1星，1号位,,4085,0
残响-空1星，2号位,,4086,1
残响-空1星，2号位,,4087,1
残响-空1星，2号位,,4088,1
残响-空1星，2号位,,4089,1
残响-空1星，2号位,,4090,1
残响-空1星，2号位,,4091,1
残响-空1星，3号位,,4092,2
残响-空1星，3号位,,4093,2
残响-空1星，3号位,,4094,2
残响-空1星，3号位,,4095,2
残响-空1星，3号位,,4096,2
残响-空1星，3号位,,4097,2
残响-空1星，4号位,,4098,3
残响-空1星，4号位,,4099,3
残响-空1星，4号位,,4100,3
残响-空1星，4号位,,4101,3
残响-空1星，4号位,,4102,3
残响-空1星，4号位,,4103,3
残响-空1星，5号位,,4104,4
残响-空1星，5号位,,4105,4
残响-空1星，5号位,,4106,4
残响-空1星，5号位,,4107,4
残响-空1星，5号位,,4108,4
残响-空1星，5号位,,4109,4
残响-空2星，1号位,,4110,0
残响-空2星，1号位,,4111,0
残响-空2星，1号位,,4112,0
残响-空2星，1号位,,4113,0
残响-空2星，1号位,,4114,0
残响-空2星，1号位,,4115,0
残响-空2星，2号位,,4116,1
残响-空2星，2号位,,4117,1
残响-空2星，2号位,,4118,1
残响-空2星，2号位,,4119,1
残响-空2星，2号位,,4120,1
残响-空2星，2号位,,4121,1
残响-空2星，3号位,,4122,2
残响-空2星，3号位,,4123,2
残响-空2星，3号位,,4124,2
残响-空2星，3号位,,4125,2
残响-空2星，3号位,,4126,2
残响-空2星，3号位,,4127,2
残响-空2星，4号位,,4128,3
残响-空2星，4号位,,4129,3
残响-空2星，4号位,,4130,3
残响-空2星，4号位,,4131,3
残响-空2星，4号位,,4132,3
残响-空2星，4号位,,4133,3
残响-空2星，5号位,,4134,4
残响-空2星，5号位,,4135,4
残响-空2星，5号位,,4136,4
残响-空2星，5号位,,4137,4
残响-空2星，5号位,,4138,4
残响-空2星，5号位,,4139,4
残响-空3星，1号位,,4140,0
残响-空3星，1号位,,4141,0
残响-空3星，1号位,,4142,0
残响-空3星，1号位,,4143,0
残响-空3星，1号位,,4144,0
残响-空3星，1号位,,4145,0
残响-空3星，2号位,,4146,1
残响-空3星，2号位,,4147,1
残响-空3星，2号位,,4148,1
残响-空3星，2号位,,4149,1
残响-空3星，2号位,,4150,1
残响-空3星，2号位,,4151,1
残响-空3星，3号位,,4152,2
残响-空3星，3号位,,4153,2
残响-空3星，3号位,,4154,2
残响-空3星，3号位,,4155,2
残响-空3星，3号位,,4156,2
残响-空3星，3号位,,4157,2
残响-空3星，4号位,,4158,3
残响-空3星，4号位,,4159,3
残响-空3星，4号位,,4160,3
残响-空3星，4号位,,4161,3
残响-空3星，4号位,,4162,3
残响-空3星，4号位,,4163,3
残响-空3星，5号位,,4164,4
残响-空3星，5号位,,4165,4
残响-空3星，5号位,,4166,4
残响-空3星，5号位,,4167,4
残响-空3星，5号位,,4168,4
残响-空3星，5号位,,4169,4
残响-空4星，1号位,,4170,0
残响-空4星，1号位,,4171,0
残响-空4星，1号位,,4172,0
残响-空4星，1号位,,4173,0
残响-空4星，1号位,,4174,0
残响-空4星，1号位,,4175,0
残响-空4星，2号位,,4176,1
残响-空4星，2号位,,4177,1
残响-空4星，2号位,,4178,1
残响-空4星，2号位,,4179,1
残响-空4星，2号位,,4180,1
残响-空4星，2号位,,4181,1
残响-空4星，3号位,,4182,2
残响-空4星，3号位,,4183,2
残响-空4星，3号位,,4184,2
残响-空4星，3号位,,4185,2
残响-空4星，3号位,,4186,2
残响-空4星，3号位,,4187,2
残响-空4星，4号位,,4188,3
残响-空4星，4号位,,4189,3
残响-空4星，4号位,,4190,3
残响-空4星，4号位,,4191,3
残响-空4星，4号位,,4192,3
残响-空4星，4号位,,4193,3
残响-空4星，5号位,,4194,4
残响-空4星，5号位,,4195,4
残响-空4星，5号位,,4196,4
残响-空4星，5号位,,4197,4
残响-空4星，5号位,,4198,4
残响-空4星，5号位,,4199,4
残响-空5星，1号位,,4200,0
残响-空5星，1号位,,4201,0
残响-空5星，1号位,,4202,0
残响-空5星，1号位,,4203,0
残响-空5星，1号位,,4204,0
残响-空5星，1号位,,4205,0
残响-空5星，2号位,,4206,1
残响-空5星，2号位,,4207,1
残响-空5星，2号位,,4208,1
残响-空5星，2号位,,4209,1
残响-空5星，2号位,,4210,1
残响-空5星，2号位,,4211,1
残响-空5星，3号位,,4212,2
残响-空5星，3号位,,4213,2
残响-空5星，3号位,,4214,2
残响-空5星，3号位,,4215,2
残响-空5星，3号位,,4216,2
残响-空5星，3号位,,4217,2
残响-空5星，4号位,,4218,3
残响-空5星，4号位,,4219,3
残响-空5星，4号位,,4220,3
残响-空5星，4号位,,4221,3
残响-空5星，4号位,,4222,3
残响-空5星，4号位,,4223,3
残响-空5星，5号位,,4224,4
残响-空5星，5号位,,4225,4
残响-空5星，5号位,,4226,4
残响-空5星，5号位,,4227,4
残响-空5星，5号位,,4228,4
残响-空5星，5号位,,4229,4
残响-空6星，1号位,,4230,0
残响-空6星，1号位,,4231,0
残响-空6星，1号位,,4232,0
残响-空6星，1号位,,4233,0
残响-空6星，1号位,,4234,0
残响-空6星，1号位,,4235,0
残响-空6星，2号位,,4236,1
残响-空6星，2号位,,4237,1
残响-空6星，2号位,,4238,1
残响-空6星，2号位,,4239,1
残响-空6星，2号位,,4240,1
残响-空6星，2号位,,4241,1
残响-空6星，3号位,,4242,2
残响-空6星，3号位,,4243,2
残响-空6星，3号位,,4244,2
残响-空6星，3号位,,4245,2
残响-空6星，3号位,,4246,2
残响-空6星，3号位,,4247,2
残响-空6星，4号位,,4248,3
残响-空6星，4号位,,4249,3
残响-空6星，4号位,,4250,3
残响-空6星，4号位,,4251,3
残响-空6星，4号位,,4252,3
残响-空6星，4号位,,4253,3
残响-空6星，5号位,,4254,4
残响-空6星，5号位,,4255,4
残响-空6星，5号位,,4256,4
残响-空6星，5号位,,4257,4
残响-空6星，5号位,,4258,4
残响-空6星，5号位,,4259,4
